model,accuracy,precision,recall,f1,roc_auc,fpr,training_time,inference_time
RandomForest,0.9784,0.9409660107334525,0.9163763066202091,0.9285083848190644,0.9850840553936755,0.010390428211586901,208.1519976000127,0.0494442000053823
SVM,0.9886666666666667,0.9682819383259912,0.9573170731707317,0.9627682873412177,0.9860719058004722,0.005667506297229219,9970.976327599987,2.6577311999863014
XGBoost,0.9809333333333333,0.9291204099060631,0.9477351916376306,0.9383354894351014,0.9861833963787641,0.013066750629722922,54.46482870000182,0.014773900009458885
