model,accuracy,precision,recall,f1,roc_auc,fpr,training_time,inference_time
RandomForest,0.9784,0.9409660107334524,0.9163763066202092,0.9285083848190644,0.9850840553936756,0.0103904282115869,208.1519976000127,0.0494442000053823
SVM,0.9886666666666668,0.9682819383259912,0.9573170731707316,0.9627682873412176,0.9860719058004722,0.0056675062972292,9970.976327599989,2.6577311999863014
XGBoost,0.9809333333333332,0.9291204099060631,0.9477351916376306,0.9383354894351014,0.986183396378764,0.0130667506297229,54.46482870000182,0.0147739000094588
k-Means,0.8175,0.2166666666666666,0.0702702702702702,0.1061224489795918,0.5525442684063373,0.0463054187192118,0.0206114999891724,0.0051411000022199
Autoencoder,0.8325,0.3666666666666666,0.1189189189189189,0.1795918367346938,0.6000106510451338,0.0374384236453202,2.420980299997609,0.0017750000115484
